iter	Passed	Remaining
1111	3074	519
1112	3076	516
1113	3079	514
1114	3082	511
1115	3084	508
1116	3087	505
1117	3089	502
1118	3092	500
1119	3094	497
1120	3097	494
1121	3099	491
1122	3102	488
1123	3104	486
1124	3107	483
1125	3109	480
1126	3112	477
1127	3114	474
1128	3117	472
1129	3120	469
1130	3122	466
1131	3125	463
1132	3127	461
1133	3130	458
1134	3133	455
1135	3135	452
1136	3138	449
1137	3140	447
1138	3143	444
1139	3145	441
1140	3148	438
1141	3150	435
1142	3153	433
1143	3155	430
1144	3158	427
1145	3160	424
1146	3163	421
1147	3165	419
1148	3168	416
1149	3170	413
1150	3173	410
1151	3175	408
1152	3178	405
1153	3180	402
1154	3183	399
1155	3185	396
1156	3188	394
1157	3190	391
1158	3193	388
1159	3196	385
1160	3198	382
1161	3201	380
1162	3203	377
1163	3206	374
1164	3208	371
1165	3211	369
1166	3214	366
1167	3216	363
1168	3219	360
1169	3221	357
1170	3224	355
1171	3226	352
1172	3229	349
1173	3231	346
1174	3234	344
1175	3236	341
1176	3239	338
1177	3241	335
1178	3243	332
1179	3246	330
1180	3248	327
1181	3251	324
1182	3253	321
1183	3256	319
1184	3258	316
1185	3261	313
1186	3263	310
1187	3266	307
1188	3268	305
1189	3271	302
1190	3273	299
1191	3276	296
1192	3278	294
1193	3281	291
1194	3283	288
1195	3286	285
1196	3288	282
1197	3291	280
1198	3293	277
1199	3295	274
1200	3298	271
1201	3300	269
1202	3303	266
1203	3306	263
1204	3308	260
1205	3311	258
1206	3313	255
1207	3316	252
1208	3318	249
1209	3321	247
1210	3323	244
1211	3326	241
1212	3328	238
1213	3330	235
1214	3333	233
1215	3336	230
1216	3338	227
1217	3341	224
1218	3343	222
1219	3346	219
1220	3348	216
1221	3351	213
1222	3353	211
1223	3356	208
1224	3358	205
1225	3361	202
1226	3363	200
1227	3366	197
1228	3368	194
1229	3371	191
1230	3373	189
1231	3375	186
1232	3378	183
1233	3381	180
1234	3383	178
1235	3386	175
1236	3388	172
1237	3390	169
1238	3393	167
1239	3395	164
1240	3398	161
1241	3400	158
1242	3403	156
1243	3405	153
1244	3408	150
